"Source","Target","Sig_correlations"
"Adrenal Gland","Brain - Amygdala_secretomics",3
"Adrenal Gland","Brain - Anterior cingulate cortex (BA24)_secretomics",7
"Adrenal Gland","Brain - Caudate (basal ganglia)_secretomics",17
"Adrenal Gland","Brain - Cerebellar Hemisphere_secretomics",13
"Adrenal Gland","Brain - Cerebellum_secretomics",22
"Adrenal Gland","Brain - Cortex_secretomics",19
"Adrenal Gland","Brain - Frontal Cortex (BA9)_secretomics",3
"Adrenal Gland","Brain - Hippocampus_secretomics",1
"Adrenal Gland","Brain - Hypothalamus_secretomics",4
"Adrenal Gland","Brain - Nucleus accumbens (basal ganglia)_secretomics",2
"Adrenal Gland","Brain - Putamen (basal ganglia)_secretomics",3
"Adrenal Gland","Brain - Spinal cord (cervical c-1)_secretomics",2
"Adrenal Gland","Brain - Substantia nigra_secretomics",1
"Adrenal Gland","Breast - Mammary Tissue_secretomics",1147
"Adrenal Gland","Cells - Cultured fibroblasts_secretomics",2298
"Adrenal Gland","Cells - EBV-transformed lymphocytes_secretomics",7
"Adrenal Gland","Cervix - Ectocervix_secretomics",0
"Adrenal Gland","Cervix - Endocervix_secretomics",0
"Adrenal Gland","Colon - Sigmoid_secretomics",1340
"Adrenal Gland","Colon - Transverse_secretomics",1900
"Adrenal Gland","Esophagus - Gastroesophageal Junction_secretomics",2527
"Adrenal Gland","Esophagus - Mucosa_secretomics",6865
"Adrenal Gland","Esophagus - Muscularis_secretomics",5315
"Adrenal Gland","Fallopian Tube_secretomics",0
"Adrenal Gland","Heart - Atrial Appendage_secretomics",4795
"Adrenal Gland","Heart - Left Ventricle_secretomics",12789
"Adrenal Gland","Kidney - Cortex_secretomics",23
"Adrenal Gland","Kidney - Medulla_secretomics",0
"Adrenal Gland","Liver_secretomics",3269
"Adrenal Gland","Lung_secretomics",8889
"Adrenal Gland","Minor Salivary Gland_secretomics",13
"Adrenal Gland","Muscle - Skeletal_secretomics",12190
"Adrenal Gland","Nerve - Tibial_secretomics",7383
"Adrenal Gland","Ovary_secretomics",187
"Adrenal Gland","Pancreas_secretomics",2087
"Adrenal Gland","Pituitary_secretomics",141
"Adrenal Gland","Prostate_secretomics",346
"Adrenal Gland","Skin - Not Sun Exposed (Suprapubic)_secretomics",7353
"Adrenal Gland","Skin - Sun Exposed (Lower leg)_secretomics",7816
"Adrenal Gland","Small Intestine - Terminal Ileum_secretomics",56
"Adrenal Gland","Spleen_secretomics",566
"Adrenal Gland","Stomach_secretomics",463
"Adrenal Gland","Testis_secretomics",4500
"Adrenal Gland","Thyroid_secretomics",9452
"Adrenal Gland","Uterus_secretomics",96
"Adrenal Gland","Vagina_secretomics",135
"Adrenal Gland","Whole Blood_secretomics",14670
"Artery - Aorta","Adipose - Subcutaneous_secretomics",11259
"Artery - Aorta","Adipose - Visceral (Omentum)_secretomics",10586
"Artery - Aorta","Adrenal Gland_secretomics",3056
"Artery - Aorta","Artery - Coronary_secretomics",1984
"Artery - Aorta","Artery - Tibial_secretomics",10117
"Artery - Aorta","Bladder_secretomics",0
"Artery - Aorta","Brain - Amygdala_secretomics",72
"Artery - Aorta","Brain - Anterior cingulate cortex (BA24)_secretomics",41
"Artery - Aorta","Brain - Caudate (basal ganglia)_secretomics",5
"Artery - Aorta","Brain - Cerebellar Hemisphere_secretomics",14
"Artery - Aorta","Brain - Cerebellum_secretomics",64
"Artery - Aorta","Brain - Cortex_secretomics",35
"Artery - Aorta","Brain - Frontal Cortex (BA9)_secretomics",27
"Artery - Aorta","Brain - Hippocampus_secretomics",29
"Artery - Aorta","Brain - Hypothalamus_secretomics",6
"Artery - Aorta","Brain - Nucleus accumbens (basal ganglia)_secretomics",19
"Artery - Aorta","Brain - Putamen (basal ganglia)_secretomics",5
"Artery - Aorta","Brain - Spinal cord (cervical c-1)_secretomics",14
"Artery - Aorta","Brain - Substantia nigra_secretomics",1
"Artery - Aorta","Breast - Mammary Tissue_secretomics",3829
"Artery - Aorta","Cells - Cultured fibroblasts_secretomics",4271
"Artery - Aorta","Cells - EBV-transformed lymphocytes_secretomics",198
"Artery - Aorta","Cervix - Ectocervix_secretomics",1
"Artery - Aorta","Cervix - Endocervix_secretomics",0
"Artery - Aorta","Colon - Sigmoid_secretomics",4529
"Artery - Aorta","Colon - Transverse_secretomics",2216
"Artery - Aorta","Esophagus - Gastroesophageal Junction_secretomics",5195
"Artery - Aorta","Esophagus - Mucosa_secretomics",12432
"Artery - Aorta","Esophagus - Muscularis_secretomics",14905
"Artery - Aorta","Fallopian Tube_secretomics",0
"Artery - Aorta","Heart - Atrial Appendage_secretomics",10760
"Artery - Aorta","Heart - Left Ventricle_secretomics",19870
"Artery - Aorta","Kidney - Cortex_secretomics",42
"Artery - Aorta","Kidney - Medulla_secretomics",0
"Artery - Aorta","Liver_secretomics",3217
"Artery - Aorta","Lung_secretomics",17343
"Artery - Aorta","Minor Salivary Gland_secretomics",48
"Artery - Aorta","Muscle - Skeletal_secretomics",19071
"Artery - Aorta","Nerve - Tibial_secretomics",15522
"Artery - Aorta","Ovary_secretomics",709
"Artery - Aorta","Pancreas_secretomics",3052
"Artery - Aorta","Pituitary_secretomics",83
"Artery - Aorta","Prostate_secretomics",708
"Artery - Aorta","Skin - Not Sun Exposed (Suprapubic)_secretomics",12358
"Artery - Aorta","Skin - Sun Exposed (Lower leg)_secretomics",13001
"Artery - Aorta","Small Intestine - Terminal Ileum_secretomics",41
"Artery - Aorta","Spleen_secretomics",278
"Artery - Aorta","Stomach_secretomics",667
"Artery - Aorta","Testis_secretomics",9519
"Artery - Aorta","Thyroid_secretomics",14861
"Artery - Aorta","Uterus_secretomics",156
"Artery - Aorta","Vagina_secretomics",222
"Artery - Aorta","Whole Blood_secretomics",20660
"Artery - Coronary","Adipose - Subcutaneous_secretomics",1268
"Artery - Coronary","Adipose - Visceral (Omentum)_secretomics",1263
"Artery - Coronary","Adrenal Gland_secretomics",410
"Artery - Coronary","Artery - Aorta_secretomics",1729
"Artery - Coronary","Artery - Tibial_secretomics",1277
"Artery - Coronary","Bladder_secretomics",1
"Artery - Coronary","Brain - Amygdala_secretomics",5
"Artery - Coronary","Brain - Anterior cingulate cortex (BA24)_secretomics",1
"Artery - Coronary","Brain - Caudate (basal ganglia)_secretomics",3
"Artery - Coronary","Brain - Cerebellar Hemisphere_secretomics",12
"Artery - Coronary","Brain - Cerebellum_secretomics",13
"Artery - Coronary","Brain - Cortex_secretomics",3
"Artery - Coronary","Brain - Frontal Cortex (BA9)_secretomics",4
"Artery - Coronary","Brain - Hippocampus_secretomics",3
"Artery - Coronary","Brain - Hypothalamus_secretomics",1
